"","popiska","pred_nominaci_pc","po_nominaci_pc","po_vyhlaseni_pc"
"87","1990: Awakenings",70.6333973128599,21.1132437619962,8.25335892514395
"88","2013: 12 Years a Slave",79.1075050709939,20.8924949290061,0
"89","2007: No Country for Old Men",65.814266487214,20.7267833109018,13.4589502018843
"90","2003: Lost in Translation",78.1846776005392,20.2201752415188,1.59514715794204
"91","1983: Terms of Endearment",67.2509225092251,20.1107011070111,12.6383763837638
"92","2005: Good Night, and Good Luck.",79.7973400886637,18.9993666877771,1.20329322355921
"93","2007: Michael Clayton",80.3917567843297,18.5676392572944,1.04060395837584
"94","1985: Out of Africa",63.8346727898967,18.5993111366246,17.5660160734788
"95","2010: The Fighter",77.991452991453,18.5897435897436,3.41880341880342
"96","2010: Black Swan",78.2974742750234,18.5219831618335,3.18054256314312
"97","2012: Lincoln",79.8572996706915,18.1668496158068,1.97585071350165
"98","2011: Hugo",75.7780784844384,18.1326116373478,6.0893098782138
"99","1991: Bugsy",79.2260692464359,18.1262729124236,2.64765784114053
"100","1990: Dances with Wolves",56.6539923954373,17.7620858229223,25.5839217816404
"101","1994: Pulp Fiction",70.7136237256719,17.6088971269694,11.6774791473587
"102","1984: Amadeus",49.8062015503876,17.6356589147287,32.5581395348837
"103","2012: Life of Pi",73.44,17.36,9.2
"104","2010: True Grit",80.8995327102804,16.7056074766355,2.39485981308411
"105","1986: Children of a Lesser God",69.4968553459119,16.6666666666667,13.8364779874214
"106","2009: Avatar",79.8106414188558,16.2955060674757,3.89385251366849
"107","1991: The Prince of Tides",79.2780748663101,16.0427807486631,4.67914438502674
"108","2008: The Curious Case of Benjamin Button",81.8823529411765,15.5294117647059,2.58823529411765
"109","1998: The Thin Red Line",84.181568088033,14.5804676753783,1.23796423658872
"110","1991: JFK",82.5284090909091,14.6306818181818,2.84090909090909
"111","2012: Argo",81.1029411764706,14.1911764705882,4.70588235294118
"112","1996: Jerry Maguire",78.8961038961039,14.0909090909091,7.01298701298701
"113","1991: Beauty and the Beast",73.0637422892392,13.0226182316655,13.9136394790953
"114","2005: Munich",85.9490204339583,12.6395618285233,1.41141773751843
"115","1986: A Room with a View",55.0239234449761,11.9617224880383,33.0143540669857
"116","2009: The Hurt Locker",74.7058823529412,11.7647058823529,13.5294117647059
"117","1997: The Full Monty",84.5652173913043,11.9565217391304,3.47826086956522
"118","1985: Kiss of the Spider Woman",77.0588235294118,11.7647058823529,11.1764705882353
"119","2009: Up in the Air",87.6983653501969,11.3351628683928,0.966471781410333
"120","1999: The Green Mile",88.222384784199,10.5340160936357,1.24359912216533
"121","1993: The Remains of the Day",84.051724137931,10.3448275862069,5.60344827586207
"122","1992: A Few Good Men",84.9363507779349,10.1131541725601,4.95049504950495
"123","2012: Beasts of the Southern Wild",88.1435257410296,10.1404056162246,1.71606864274571
"124","1994: Quiz Show",88.3777239709443,9.68523002421308,1.93704600484262
"125","2002: Gangs of New York",90.1144105926211,8.87003470883147,1.01555469854737
"126","1995: Braveheart",88.6243386243386,8.33333333333333,3.04232804232804
